Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags
172,7.7,0,1741,5,21,"[' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']"
311,8.3,14,3720,32,1,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']"
419,8.4,10,4527,6,2,"[' Business trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 6 nights ']"
146,7.9,138,983,3,16,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
484,8.2,0,1827,23,5,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']"
411,8.9,0,1738,16,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']"
305,8.3,0,1719,24,7,"[' Leisure trip ', ' Couple ', ' Luxury Double Room Mezzanine ', ' Stayed 1 night ']"
85,8.2,0,451,9,13,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
110,8.5,0,941,8,3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
524,8.2,49,2516,13,3,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
278,7.6,0,3383,31,1,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
75,8.8,39,545,25,2,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
556,8,3,2347,2,3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']"
545,8,18,2907,35,4,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
75,8.2,0,948,8,13,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']"
154,8.2,12,689,8,1,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 5 nights ']"
1274,7.7,0,6539,34,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
187,7.6,0,830,34,2,"[' Solo traveler ', ' Executive Twin Room ', ' Stayed 1 night ']"
854,7.8,51,3867,86,3,"[' Leisure trip ', ' Group ', ' Double or Twin Room Non Smoking ', ' Stayed 2 nights ']"
954,8.6,0,4426,11,1,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
144,8.4,0,1813,12,10,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
726,8.6,0,4530,22,11,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']"
451,8.5,21,2756,9,3,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
401,8.1,2,1500,3,1,"[' Leisure trip ', ' Family with young children ', ' Standard Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1485,7.5,5,6977,2,4,"[' Business trip ', ' Family with young children ', ' Twin Hilton Guest Room ', ' Stayed 1 night ']"
148,9,5,682,10,5,"[' Leisure trip ', ' Family with young children ', ' Small Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
393,8.6,5,3823,20,17,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
391,8.8,7,4324,0,1,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
188,9.1,0,1708,24,1,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
694,8.7,56,2332,20,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
154,8,8,768,25,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
834,9.1,2,4687,14,8,"[' Leisure trip ', ' Group ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
156,8.5,0,1354,5,13,"[' Leisure trip ', ' Family with young children ', ' Comfort Double or Twin Room 1 2 Adults ', ' Stayed 2 nights ']"
272,8.1,0,1652,46,4,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
713,8.3,15,2826,0,2,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
466,8.2,0,2134,8,1,"[' Business trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ']"
44,7.5,44,397,0,17,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
465,8.9,0,2543,12,15,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
710,7.9,0,6511,16,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
81,8.1,0,838,17,3,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
386,8.7,10,1478,4,20,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1005,8.3,9,3469,38,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
368,7.5,24,2092,34,26,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 1 night ']"
416,8.5,91,5177,9,12,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
116,8.1,21,1395,12,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
247,8.6,6,4026,6,2,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ']"
550,8.8,27,4097,8,26,"[' Business trip ', ' Solo traveler ', ' Queen or Two Double Beds Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
67,9.5,0,362,19,2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
827,8.6,0,4593,18,4,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
185,9.4,6,1345,0,4,"[' Family with young children ', ' King Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
265,9.3,0,1611,15,4,"[' Leisure trip ', ' Family with young children ', ' Classic Double or Twin Room ', ' Stayed 1 night ']"
421,8.5,33,1802,4,1,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 5 nights ']"
191,8.2,27,1852,24,29,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ']"
834,9.1,0,4687,34,22,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']"
83,8.3,3,549,4,2,"[' Business trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
211,8.9,8,2412,5,4,"[' Business trip ', ' Group ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1471,9.1,0,4802,20,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
918,8.4,0,4117,5,22,"[' Leisure trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 2 nights ']"
2288,8.1,10,9568,8,8,"[' Leisure trip ', ' Family with young children ', ' Cosy Double Room ', ' Stayed 4 nights ']"
249,7.7,75,1573,34,3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
49,8.6,0,729,3,4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
562,8.5,38,1944,10,4,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2623,8.7,0,12158,11,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 1 night ']"
541,8,16,2367,29,8,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
95,7.6,18,1577,3,15,"[' Leisure trip ', ' Solo traveler ', ' Double Room with French Bed ', ' Stayed 3 nights ']"
1471,9.1,19,4802,9,24,"[' Business trip ', ' Solo traveler ', ' Deluxe Double ', ' Stayed 4 nights ']"
116,7.2,17,1201,9,3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
293,8.7,14,1908,22,1,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
297,8,115,2868,17,22,"[' Business trip ', ' Solo traveler ', ' Superior Room with Spa access ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
285,8.7,20,3181,41,7,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']"
232,8.5,0,1187,38,12,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ']"
989,8.4,129,4660,11,2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']"
602,8.5,20,2494,19,1,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
687,8.2,22,2898,33,1,"[' Leisure trip ', ' Family with young children ', ' Family Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
175,8.4,0,1757,18,7,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
416,8.5,12,5177,23,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
207,8.7,10,3010,12,6,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2288,8.1,11,9568,0,1,"[' Leisure trip ', ' Group ', ' Cosy Double Room ', ' Stayed 5 nights ']"
843,7.8,12,3801,4,10,"[' Leisure trip ', ' Family with young children ', ' Double Hilton Guestroom ', ' Stayed 2 nights ']"
1274,7.7,10,6539,7,4,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
27,9.3,6,76,0,1,"[' Business trip ', ' Solo traveler ', ' City Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
493,9,3,4192,14,26,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']"
126,8.2,0,1281,23,26,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
251,8.8,0,3667,6,1,"[' Business trip ', ' Couple ', ' Deluxe Room ', ' Stayed 4 nights ']"
231,8.9,61,857,21,2,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ']"
765,8.4,59,4686,5,5,"[' Business trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
639,9.2,9,2619,11,32,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 2 nights ']"
146,9.2,0,1261,15,5,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']"
791,7.3,13,3609,10,125,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 4 nights ']"
500,9.1,6,2113,0,2,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
54,8.8,0,494,15,4,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
58,9.4,2,437,4,4,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
710,7.9,13,6511,3,3,"[' Leisure trip ', ' Family with older children ', ' Double Room Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
641,8.7,5,2130,3,6,"[' Business trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
704,8.8,3,2617,51,5,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
100,8.5,10,778,7,6,"[' Leisure trip ', ' Couple ', ' Double Room 2 Adults ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
581,8.4,12,1994,6,2,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
247,9.2,17,1914,12,1,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1198,8.5,8,6596,6,3,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
166,8.1,13,1738,87,23,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Free Pool Access ', ' Stayed 6 nights ']"
219,8.1,11,1116,9,10,"[' Leisure trip ', ' Group ', ' One Bedroom Apartment ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
337,8.9,8,1769,6,7,"[' Leisure trip ', ' Family with young children ', ' Two Bedroom Apartment ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
550,8.8,93,4097,26,1,"[' Leisure trip ', ' Solo traveler ', ' Executive Room ', ' Stayed 2 nights ']"
1172,7.8,78,5945,50,2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']"
112,8.8,0,1072,15,1,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 1 night ']"
528,8.7,0,2485,5,86,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']"
2288,8.1,3,9568,4,4,"[' Leisure trip ', ' Family with young children ', ' Cosy Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
187,7.6,0,830,5,3,"[' Leisure trip ', ' Family with young children ', ' Premier Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2682,7.1,40,9086,18,1,"[' Leisure trip ', ' Group ', ' Standard Double Room without Window ', ' Stayed 1 night ']"
439,8,7,3633,69,4,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
159,8.4,118,1652,17,2,"[' Leisure trip ', ' Group ', ' Superior Room with 2 Single Beds ', ' Stayed 3 nights ']"
269,8.1,10,5265,3,6,"[' Couple ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
333,8,22,2611,20,1,"[' Leisure trip ', ' Family with older children ', ' Standard Room with One Double Bed and Single Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
110,8.2,0,1034,10,3,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ']"
392,8.8,16,1803,4,4,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
68,8.8,16,625,9,15,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
75,8.2,8,964,5,1,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
452,7.6,13,2562,13,1,"[' Leisure trip ', ' Couple ', ' Executive Double ', ' Stayed 1 night ']"
563,8.3,19,10842,13,9,"[' Business trip ', ' Group ', ' Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
253,8.4,24,2586,5,5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room with View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
184,7.9,0,1949,6,1,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
196,9.3,7,931,2,10,"[' Leisure trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
180,8.7,0,1766,16,4,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']"
1258,9.4,2,4204,9,4,"[' Leisure trip ', ' Family with young children ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
211,8.8,165,2094,34,2,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 3 nights ']"
60,8.4,34,790,11,14,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
266,8.4,28,1193,2,4,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
348,8,15,1710,0,1,"[' Leisure trip ', ' Family with young children ', ' Club Room with Club Lounge Access Free Wifi ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
237,8.4,0,2179,9,2,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
177,9.1,18,2279,27,2,"[' Leisure trip ', ' Couple ', ' Double Room with Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
459,8.4,46,2405,6,2,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ']"
1485,7.5,84,6977,17,6,"[' Leisure trip ', ' Group ', ' Hilton Queen Family Room ', ' Stayed 3 nights ']"
173,8.5,13,1799,0,3,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
995,8.1,160,3826,10,1,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ']"
275,8.5,0,1131,26,2,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
224,7.7,67,1667,5,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
201,7.7,56,2667,6,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 8 nights ']"
125,8.6,42,1307,46,1,"[' Leisure trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
211,8.1,11,2436,7,1,"[' Leisure trip ', ' Couple ', ' Mini Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
838,8.4,92,3274,2,8,"[' Leisure trip ', ' Family with older children ', ' 3 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
254,7.3,33,1139,0,7,"[' Leisure trip ', ' Solo traveler ', ' Single Hilton Guestroom ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
82,9.3,0,532,19,1,"[' Leisure trip ', ' Family with young children ', ' Park Studio King ', ' Stayed 2 nights ']"
169,8.3,0,2573,12,12,"[' Couple ', ' Premium Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
171,8.4,0,2189,7,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
14,8.4,0,132,6,2,"[' Leisure trip ', ' Couple ', ' Eiffel Loft ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
597,7.9,0,2308,14,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
125,8.6,9,853,69,5,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ']"
117,8.3,0,694,11,6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
74,8.7,0,417,7,2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
2682,7.1,64,9086,0,1,"[' Solo traveler ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
854,7.8,130,3867,33,3,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room Non Smoking ', ' Stayed 8 nights ']"
332,8.7,55,1449,12,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
317,7.6,5,1458,0,4,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
91,8.8,22,1250,22,5,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Suite with Sofa Bed ', ' Stayed 1 night ']"
144,8.7,5,585,24,14,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ']"
256,8.8,0,1746,13,7,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ']"
184,7.9,5,564,0,2,"[' Leisure trip ', ' Family with young children ', ' Deluxe King or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
54,8,8,1199,23,5,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
709,8.2,12,2995,6,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
709,8.2,0,2995,5,4,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
832,9.1,15,4672,8,7,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 4 nights ']"
228,8.5,0,2848,15,5,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 3 nights ']"
832,9.1,13,4672,10,15,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2623,8.7,0,12158,6,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
232,8.5,9,1187,16,6,"[' Leisure trip ', ' Group ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ']"
44,9.3,3,377,11,14,"[' Business trip ', ' Solo traveler ', ' Superior Room Swimming Pool Hammam Access upon reservation ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
396,8.3,17,4293,34,3,"[' Leisure trip ', ' Couple ', ' Special Offer Princess Relax ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
313,7.5,0,2176,12,2,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ']"
914,8.5,125,7586,35,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
184,7.9,0,1949,14,8,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
228,8.5,13,2279,20,4,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
2682,7.1,17,9086,5,2,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
227,6.9,8,747,4,1,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
744,8.3,0,2474,20,35,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']"
409,8.4,14,1479,11,1,"[' Leisure trip ', ' Couple ', ' Twin Hilton Deluxe ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
612,8.6,0,5018,5,9,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
512,8,26,2491,6,7,"[' Family with young children ', ' Executive Family Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
190,8.5,5,3003,5,3,"[' Leisure trip ', ' Solo traveler ', ' Twin Room with Public Transport Ticket ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
220,8.3,60,844,3,15,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
13,7.9,52,74,0,1,"[' Family with older children ', ' Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
834,9.1,33,4687,9,1,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
239,8.4,13,2349,2,2,"[' Business trip ', ' Group ', ' Double Queen Waterfront ', ' Stayed 1 night ']"
117,9.1,0,946,24,5,"[' Leisure trip ', ' Family with older children ', ' Corner Suite ', ' Stayed 3 nights ']"
325,8.6,23,3221,11,9,"[' Leisure trip ', ' Family with young children ', ' Comfort Room ', ' Stayed 3 nights ']"
156,8.9,0,904,33,10,"[' Leisure trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
211,8.6,0,2923,57,4,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 3 nights ']"
284,8.2,99,4217,33,3,"[' With a pet ', ' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
556,8,7,2347,4,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
100,7.9,29,468,13,3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']"
740,7.4,8,5575,4,1,"[' Leisure trip ', ' Couple ', ' Standard Room with 1 Double Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
117,8.4,21,774,13,1,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
73,6.6,4,461,2,1,"[' Business trip ', ' Group ', ' Family Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1172,7.8,31,5945,5,1,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ']"
122,7.8,62,612,2,1,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']"
92,8.7,25,363,27,5,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 10 nights ', ' Submitted from a mobile device ']"
471,7,8,2937,5,2,"[' Leisure trip ', ' Group ', ' Basic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
1258,9.4,30,4204,21,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
164,8.5,27,2383,31,9,"[' Leisure trip ', ' Group ', ' Economy Double Room ', ' Stayed 2 nights ']"
904,8.1,34,16670,5,61,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']"
904,8.1,9,16670,12,4,"[' Leisure trip ', ' Family with young children ', ' Quadruple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
807,8.5,4,3269,0,4,"[' Business trip ', ' Solo traveler ', ' Queen Room with Mobility Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
